[07 abr 20:03:39] Created new character L2PcInstance:Waizatsu[268481623] [Account: makusanagi - IP: 127.0.0.1].
[07 abr 20:03:42] Logged in, Waizatsu(268481623) makusanagi 127.0.0.1
[07 abr 20:05:36] Disconnected, Waizatsu(268481623) makusanagi 127.0.0.1
[07 abr 20:06:41] Logged in, Waizatsu(268481623) makusanagi 127.0.0.1
[07 abr 20:08:35] Logged out, Waizatsu(268481623) makusanagi 127.0.0.1
[07 abr 20:08:37] Logged in, Waizatsu(268481623) makusanagi 127.0.0.1
[07 abr 20:09:12] Disconnected, Waizatsu(268481623) makusanagi 127.0.0.1
[07 abr 20:13:04] Logged in, Waizatsu(268481623) makusanagi 127.0.0.1
[07 abr 20:15:12] Logged out, Waizatsu(268481623) makusanagi 127.0.0.1
[07 abr 20:15:13] Logged in, Waizatsu(268481623) makusanagi 127.0.0.1
[07 abr 20:17:01] Logged out, Waizatsu(268481623) makusanagi 127.0.0.1
[07 abr 20:20:11] Created new character L2PcInstance:Waizatsu[268481762] [Account: makusanagi - IP: 127.0.0.1].
[07 abr 20:20:13] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:20:50] Disconnected, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:21:10] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:22:09] Logged out, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:22:10] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:23:39] Logged out, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:23:40] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:24:53] Disconnected, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:32:30] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:34:57] Disconnected, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:36:00] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[07 abr 20:46:07] Disconnected, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 13:30:32] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 13:43:04] Logged out, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 13:43:05] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 15:12:43] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 15:37:25] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 15:59:04] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 16:15:28] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 16:25:55] Disconnected, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 16:32:44] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 17:00:10] Disconnected, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 17:04:01] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 17:11:46] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 17:17:30] Logged in, Waizatsu(268481762) makusanagi 127.0.0.1
[08 abr 17:58:20] Created new character L2PcInstance:Waizatsu[268482253] [Account: makusanagi - IP: 127.0.0.1].
[08 abr 17:58:22] Logged in, Waizatsu(268482253) makusanagi 127.0.0.1
